respid,status,l,QA,QB,QC,QD_1,QD_2,QD_3,Q1,Q2,Q3,NAMExS_1,APR_1,MTR_1,SOLICITxS_1,Q4,NAMExS_2,APR_2,MTR_2,SOLICITxS_2,Q5,NAMExL_1,BEQUESTxL_1,RATExL_1,HEALTHxL_1,SOLICITxL_1,PAYOUT_1,COMP_1,Q6,NAMExL_2,BEQUESTxL_2,RATExL_2,HEALTHxL_2,SOLICITxL_2,PAYOUT_2,COMP_2,Q7,NAMExC_1,BORROW_1,HEALTHxC_1,RATExC_1,SOLICITxC_1,Q8,NAMExC_2,BORROW_2,HEALTHxC_2,RATExC_2,SOLICITxC_2,Q9,NAMExI_1,MUTFEES_1,SEGFEES_1,SOLICITxI_1,Q10,NAMExI_2,MUTFEES_2,SEGFEES_2,SOLICITxI_2,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_7777777,Q13_8888888,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16,Q16dk_7777777,Q16dk_8888888,Q17,Q18,hQ18_1,hQ18_2,hQ18_3,hQ18_4,hQ18_5,hQ18_6,Q19,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q24,Q24dk_9999999,Q24a,Q24b,Q24c,Q24d,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q27,Q27dk_9999999,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q29,Q30x1_1,Q30x2_1,Q30x3_1,Q30x1_2,Q30x2_2,Q30x3_2,Q30x1_3,Q30x2_3,Q30x3_3,Q30x1_4,Q30x2_4,Q30x3_4,Q30x1_5,Q30x2_5,Q30x3_5,Q30x1_9999999,hQ31Num1,hQ31Num2,Q31,Q31dk_9999999,Q31a,Q31b,Q32,Q32dk_7777777,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q34_9,Q34_10,Q35,Q36,Q39,timestamp,sample
101865,complete,3084,2,50,6,1,0,0,6,6,1,2,1,1,1,1,4,2,2,0,1,3,2,3,2,1,1,1,2,4,1,1,3,0,2,0,1,1,1,2,3,0,3,2,2,1,1,1,1,3,2,3,1,2,4,1,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18.0,0,0,2,2,0,1,0,0,0,0,2,1,2,7,2,7,5,6,5,7,1,7,5,4,3,5,3,3,3,2,,1,1.0,1.0,7777777.0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,,1.0,,,,,,,,,1,0,,,0,,,0,,,0,,,0,,,1,500000,250000,148000.0,0,,,8.0,0,2,0.0,0.0,5.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,2,2,,Thu Oct 21 18:57:16 UTC+0 2021,1
101162,complete,3084,1,67,6,1,1,0,5,1,1,3,2,2,0,1,1,1,1,1,2,3,2,1,1,0,1,0,1,4,1,2,3,1,2,1,4,2,3,3,2,0,2,1,1,2,3,1,2,2,2,3,0,4,3,1,2,1,4,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,34.0,0,0,4,4,0,0,0,1,0,0,2,2,1,5,3,7,1,1,7,7,5,7,7,3,3,3,3,3,5,3,130000.0,0,,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,785000.0,5.0,0,,,0,,,0,,,0,,,0,100000,50000,90000.0,0,,,8.0,0,2,0.0,0.0,0.0,30.0,40.0,20.0,10.0,0.0,0.0,0.0,1,2,,Mon Oct 18 17:35:56 UTC+0 2021,1
100618,complete,3084,1,52,6,0,1,0,6,2,1,1,3,2,0,1,4,2,1,1,2,4,2,1,3,1,2,0,2,2,1,3,1,0,1,1,4,2,1,2,2,1,2,1,2,1,3,0,2,2,3,2,0,4,4,2,3,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.0,0,0,4,3,0,0,1,0,0,0,2,1,1,5,1,7,1,7,7,7,4,7,2,4,4,3,2,4,5,2,155000.0,0,,,,,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,,,0,,,0,,,0,,,0,,,1,100000,50000,90000.0,0,,,6.0,0,2,0.0,0.0,10.0,20.0,50.0,10.0,5.0,3.0,2.0,0.0,2,2,,Mon Oct 18 16:56:52 UTC+0 2021,1
100332,complete,3084,1,32,6,1,1,0,6,6,2,4,1,1,0,2,3,2,2,1,4,2,2,1,1,0,2,1,2,1,1,3,2,1,1,0,2,3,2,3,1,0,3,2,1,2,3,1,3,3,2,1,1,4,4,3,3,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6.0,0,0,8888888,4,0,0,0,1,0,0,3,2,2,3,1,7,5,6,7,7,5,6,5,4,1,3,3,3,3,2,,1,1.0,1.0,2.0,,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,2,0,,,0,,,0,,,0,,,0,,,1,100000,50000,115000.0,0,,,8.0,0,4,0.0,2.0,8.0,20.0,40.0,20.0,8.0,2.0,0.0,0.0,8888888,2,,Mon Oct 18 17:05:22 UTC+0 2021,1
100034,complete,3084,1,62,6,0,1,0,7,1,1,2,2,1,0,4,3,1,2,1,1,4,2,1,2,1,1,0,4,3,1,2,1,0,2,1,4,2,2,3,2,1,3,3,1,1,1,0,1,2,3,3,0,4,4,1,1,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3.0,0,0,4,1,1,0,0,0,0,0,1,2,2,7,2,7,2,7,7,7,1,5,5,2,3,5,5,5,5,2,100000.0,0,,,,,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1500000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,900000.0,4.0,1,85000.0,4.0,0,,,0,,,1,100000.0,4.0,0,1500000,750000,70000.0,0,,,10.0,0,3,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,1,7777777,,Mon Oct 18 17:09:01 UTC+0 2021,1
100578,complete,3084,2,28,6,0,0,0,7,6,2,1,1,2,1,1,3,3,1,0,2,2,1,1,3,0,1,0,1,1,2,3,2,1,2,1,1,1,2,2,1,0,2,3,1,1,3,1,2,2,2,1,0,4,3,1,2,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,3,1,1,0,0,0,0,0,1,2,3,7,1,6,5,7,2,7,1,4,1,2,2,2,2,3,4,2,100000.0,0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,,,,,,,,,,,1,0,,,0,,,0,,,0,,,0,,,1,100000,50000,0.0,0,,,,1,1,0.0,2.0,10.0,25.0,25.0,25.0,10.0,3.0,0.0,0.0,1,7777777,,Mon Oct 18 16:49:29 UTC+0 2021,1
101410,complete,3084,1,44,6,1,0,0,7,6,2,2,3,2,0,1,3,2,1,1,2,2,2,2,1,0,2,1,2,4,1,3,2,1,1,0,2,1,1,3,2,0,3,3,3,2,1,1,3,4,2,2,1,1,1,3,3,0,1,5,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,21.0,0,0,4,2,0,1,0,0,0,0,2,4,2,3,1,7,2,7,7,7,1,6,3,2,2,3,4,2,2,2,185000.0,0,,,,,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1200000.0,0.0,,,,,,,,,1,1,450000.0,5.0,1,115000.0,4.0,0,,,0,,,1,320000.0,4.0,0,1200000,600000,105000.0,0,,,7.0,0,2,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,2,1,,Tue Oct 19 12:34:59 UTC+0 2021,1
101161,complete,3084,1,58,6,1,0,0,6,2,1,2,3,2,1,4,3,2,1,0,4,1,2,1,1,0,2,1,3,4,1,2,3,1,1,0,1,3,3,3,1,1,3,4,2,2,2,0,1,4,3,3,0,2,2,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12.0,0,0,4,1,1,0,0,0,0,0,2,2,1,7,2,7,7,7,1,1,1,1,4,3,5,3,1,5,5,3,80000.0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,,0,,,0,,,0,,,0,,,1,300000,150000,190000.0,0,,,6.0,0,1,0.0,1.0,5.0,10.0,49.0,1.0,10.0,12.0,8.0,4.0,7777777,2,,Mon Oct 18 16:56:10 UTC+0 2021,1
101774,complete,3084,1,58,6,1,1,0,5,5,1,2,2,2,1,1,4,3,1,0,4,4,1,2,3,0,2,1,1,1,2,3,2,1,1,0,2,3,3,2,2,1,1,1,2,1,3,0,1,4,3,1,0,1,1,2,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,36.0,0,0,4,4,0,0,0,1,0,0,2,2,2,5,1,7,3,5,5,7,2,7,1,3,3,2,4,3,4,2,525000.0,0,,,,,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,700000.0,0.0,,,,,,,,,2,1,250000.0,5.0,0,,,0,,,0,,,1,260000.0,5.0,0,700000,350000,260000.0,0,,,7.0,0,3,2.0,5.0,8.0,15.0,20.0,20.0,15.0,8.0,5.0,2.0,1,2,,Mon Oct 18 17:30:20 UTC+0 2021,1
101990,complete,3084,1,47,6,1,0,1,7,2,1,4,3,2,1,4,3,2,1,0,4,4,1,3,2,1,2,1,2,1,2,1,1,0,1,0,2,2,3,1,1,1,3,3,1,2,2,0,3,1,2,2,1,4,3,1,1,0,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,18.0,0,0,2,2,0,1,0,0,0,0,2,2,1,1,3,7,4,7,2,7,2,6,2,5,5,5,2,3,4,3,,1,1.0,2.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,,,0,,,0,,,0,,,0,,,1,500000,250000,,1,2.0,1.0,8.0,0,2,1.0,5.0,10.0,15.0,19.0,19.0,15.0,10.0,5.0,1.0,2,2,,Mon Oct 18 17:06:10 UTC+0 2021,1
100027,complete,3084,1,65,6,1,1,0,5,1,1,3,1,1,0,4,4,2,2,1,1,4,1,2,1,0,1,0,2,1,2,1,3,1,2,1,3,4,3,1,1,1,1,1,1,2,2,0,1,4,3,1,0,1,2,1,2,1,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,28.0,0,0,4,4,0,0,0,1,0,0,2,2,2,6,4,5,4,5,3,6,5,6,4,3,4,4,3,4,5,3,98000.0,0,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,380000.0,5.0,1,10000.0,4.0,0,,,0,,,0,,,0,100000,50000,300000.0,0,,,5.0,0,2,5.0,10.0,15.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,2,2,,Mon Oct 18 17:10:14 UTC+0 2021,1
102832,complete,3084,1,42,6,1,1,1,6,2,1,2,1,2,0,1,4,3,1,1,4,4,2,2,3,0,2,1,2,1,1,3,2,1,1,0,2,3,3,3,1,1,3,1,2,1,3,0,3,2,2,3,1,1,1,3,2,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,12.0,0,0,4,3,0,0,1,0,0,0,1,2,2,7,1,7,7,6,6,7,1,6,3,5,3,3,3,3,5,2,250000.0,0,,,,,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,150000.0,5.0,1,85000.0,5.0,0,,,0,,,1,100000.0,5.0,0,1000000,500000,10000.0,0,,,6.0,0,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,7777777,,Mon Oct 18 17:10:45 UTC+0 2021,1
101398,complete,3084,1,44,6,1,0,1,7,2,1,1,3,1,0,4,3,2,2,1,1,3,1,1,1,1,1,1,2,4,2,2,3,0,2,0,3,2,1,3,3,0,3,4,3,2,1,1,1,1,2,2,1,1,2,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20.0,0,0,4,4,0,0,0,1,0,0,2,2,1,5,2,7,5,6,5,7,2,6,6,1,3,3,3,2,5,3,450000.0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1100000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,300000.0,5.0,1,150000.0,5.0,0,,,0,,,0,,,0,1100000,550000,0.0,0,,,10.0,0,2,0.0,0.0,15.0,40.0,20.0,25.0,0.0,0.0,0.0,0.0,1,1,,Mon Oct 18 17:03:20 UTC+0 2021,1
101765,complete,3084,1,51,6,1,1,0,5,2,1,1,2,2,1,1,3,1,1,0,2,1,1,2,1,1,2,0,2,3,2,1,3,0,1,1,3,3,1,3,2,0,2,4,3,2,3,1,3,4,2,2,1,2,3,3,3,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,22.0,0,0,4,3,0,0,1,0,0,0,2,2,1,7,6,7,5,7,6,6,1,7,2,3,3,3,3,5,5,3,400000.0,0,,,,,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,2500000.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,,,0,,,0,,,0,,,0,,,0,2500000,1250000,200000.0,0,,,6.0,0,2,0.0,5.0,10.0,25.0,50.0,5.0,5.0,0.0,0.0,0.0,1,2,,Mon Oct 18 17:05:42 UTC+0 2021,1
